title,site,type,directorAndActor,quote,star,date,url
虎口脱险 / 横冲直撞出重围(港)  /  大進擊(台),法国 英国,喜剧 战争,导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...,永远看不腻的喜剧。,8.9,1966,https://movie.douban.com/subject/1296909/
雨中曲 / 雨中情  /  万花嬉春,美国,喜剧 歌舞 爱情,导演:StanleyDonen/GeneKelly   主演:GeneKelly/DonaldO'Connor/...,骨灰级歌舞片。,8.9,1952,https://movie.douban.com/subject/1293460/
小森林 冬春篇 / 小森食光 / 冬春篇(台) ,日本,剧情,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,8.9,2015,https://movie.douban.com/subject/25814707/
追随 / 致命追踪  /  跟踪,英国,犯罪 悬疑 惊悚,导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米·西奥伯德Jeremy...,诺兰的牛逼来源于内心散发出的恐惧。,8.9,1998,https://movie.douban.com/subject/1397546/
惊魂记 / 精神病患者  /  触目惊心,美国,悬疑 惊悚 恐怖,导演:AlfredHitchcock   主演:JanetLeigh/AnthonyPerkins/VeraMiles,故事的反转与反转，分裂电影的始祖。,8.9,1960,https://movie.douban.com/subject/1293181/
哪吒闹海 / Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,中国大陆,冒险 动画 奇幻,导演:严定宪DingxianYan/王树忱ShuchenWang   主演:梁正晖Zhenghui...,想你时你在闹海。,8.9,1979,https://movie.douban.com/subject/1307315/
勇士 / 勇者无敌(台)  /  钢铁斗士(港),美国,剧情 运动 家庭,导演:加文·欧康诺GavinO'Connor   主演:汤姆·哈迪TomHardy/乔尔·...,热血沸腾，相当完美的娱乐拳击大餐。,8.9,2011,https://movie.douban.com/subject/3217169/
V字仇杀队 / V煞(港)  /  V怪客(台),美国 英国 德国,剧情 动作 科幻 惊悚,导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor...,一张面具背后的理想与革命。,8.8,2005,https://movie.douban.com/subject/1309046/
情书 / When I Close My Eyes  /  Letters of Love,日本,剧情 爱情,导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...,暗恋的极致。,8.8,1995,https://movie.douban.com/subject/1292220/
致命魔术 / 顶尖对决(台)  /  死亡魔法(港),美国 英国,剧情 悬疑 惊悚,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,孪生蝙蝠侠大战克隆金刚狼。,8.8,2006,https://movie.douban.com/subject/1780330/
勇敢的心 / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),美国,动作 传记 剧情 历史 战争,导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...,史诗大片的典范。,8.8,1995,https://movie.douban.com/subject/1294639/
低俗小说 / 黑色追緝令(台)  /  危险人物(港),美国,剧情 喜剧 犯罪,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...,故事的高级讲法。,8.8,1994,https://movie.douban.com/subject/1291832/
黑客帝国 / 廿二世纪杀人网络(港)  /  骇客任务(台),美国 澳大利亚,动作 科幻,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...,视觉革命。,8.8,1999,https://movie.douban.com/subject/1291843/
入殓师 / 礼仪师之奏鸣曲(港)  /  礼仪师(台),日本,剧情,导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,2008,https://movie.douban.com/subject/2149806/
春光乍泄 / 一起快乐  /  Happy Together,香港 日本 韩国,剧情 爱情 同性,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...,爱情纠缠，男女一致。,8.8,1997,https://movie.douban.com/subject/1292679/
心灵捕手 / 骄阳似我(港)  /  心灵捕手,美国,剧情,导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...,人生中应该拥有这样的一段豁然开朗。,8.8,1997,https://movie.douban.com/subject/1292656/
幽灵公主 / 魔法公主  /  幽灵少女,日本,动作 爱情 战争 动画 奇幻 冒险,导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...,人与自然的战争史诗。,8.8,1997,https://movie.douban.com/subject/1297359/
第六感 / 灵异第六感  /  鬼眼,美国,剧情 悬疑 惊悚,导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...,深入内心的恐怖，出人意料的结局。,8.8,1999,https://movie.douban.com/subject/1297630/
甜蜜蜜 / Comrades: Almost a Love Story,香港,剧情 爱情,导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...,相逢只要一瞬间，等待却像是一辈子。,8.8,1996,https://movie.douban.com/subject/1305164/
布达佩斯大饭店 / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),美国 德国 英国,剧情 喜剧,导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...,小清新的故事里注入了大历史的情怀。,8.8,2014,https://movie.douban.com/subject/11525673/
阳光姐妹淘 / 阳光姊妹淘(港)  /  桑尼,韩国,剧情 喜剧,导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,2011,https://movie.douban.com/subject/4917726/
风之谷 / 风谷少女  /  Kaze no tani no Naushika,日本,科幻 动画 奇幻 冒险,导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y...,动画片的圣经。,8.8,1984,https://movie.douban.com/subject/1291585/
侧耳倾听 / 心之谷  /  梦幻街少女,日本,剧情 爱情 动画 音乐,导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...,少女情怀总是诗。,8.8,1995,https://movie.douban.com/subject/1297052/
超脱 / 人间师格(台),美国,剧情,导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...,穷尽一生，我们要学会的，不过是彼此拥抱。,8.8,2011,https://movie.douban.com/subject/5322596/
喜宴 / The Wedding Banquet,台湾 美国,剧情 喜剧 爱情 同性 家庭,导演:李安   主演:赵文瑄/归亚蕾/金素梅,中国家庭的喜怒哀乐忍。,8.8,1993,https://movie.douban.com/subject/1303037/
卢旺达饭店 / 卢安达饭店(台),英国 南非 意大利 美国,剧情 历史 战争,导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥...,当这个世界闭上双眼，他却敞开了怀抱。,8.8,2004,https://movie.douban.com/subject/1291822/
魂断蓝桥 / 滑铁卢桥  /  断桥残梦,美国,剧情 战争 爱情,导演:MervynLeRoy   主演:VivienLeigh/RobertTaylor/LucileWatson,中国式内在的美国电影。,8.8,1940,https://movie.douban.com/subject/1293964/
教父3 / 教父第三集  /  教父 III,美国,剧情 犯罪,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...,任何信念的力量，都无法改变命运。,8.8,1990,https://movie.douban.com/subject/1294240/
玩具总动员3 / 反斗奇兵3(港)  /  玩具的故事3,美国,喜剧 动画 奇幻 冒险,导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...,跨度十五年的欢乐与泪水。,8.8,2010,https://movie.douban.com/subject/1858711/
荒蛮故事 / 蛮荒故事  /  生命中最抓狂的小事(台),阿根廷 西班牙,剧情 喜剧 犯罪,导演:达米安·斯兹弗隆DamiánSzifron   主演:达里奥·葛兰帝内提Darío...,始于荒诞，止于更荒诞。,8.8,2014,https://movie.douban.com/subject/24750126/
我是山姆 / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),美国,剧情 家庭,导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi...,爱并不需要智商 。,8.8,2001,https://movie.douban.com/subject/1306861/
二十二 / Twenty Two  /  22,中国大陆,纪录片,导演:郭柯KeGuo   主演:,有一些东西不应该被遗忘。,8.8,2015,https://movie.douban.com/subject/26430107/
未麻的部屋 / 蓝色的恐惧  /  蓝色恐惧,日本,动画 奇幻 惊悚,导演:今敏SatoshiKon   主演:岩男润子JunkoIwao/松本梨香RicaMatsu...,好的剧本是，就算你猜到了结局也猜不到全部。,8.8,1997,https://movie.douban.com/subject/1395091/
地球上的星星 / 心中的小星星(台)  /  每一个孩子都是特别的,印度,剧情 儿童 家庭,导演:阿米尔·汗AamirKhan   主演:达席尔·萨法瑞DarsheelSafary/阿...,天使保护事件始末。,8.8,2007,https://movie.douban.com/subject/2363506/
房间 / 不存在的房间(台)  /  抖室(港),爱尔兰 加拿大 英国 美国,剧情 家庭,导演:伦尼·阿伯拉罕森LennyAbrahamson   主演:布丽·拉尔森BrieLarson...,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8,2015,https://movie.douban.com/subject/25724855/
爱在午夜降临前 / 爱在午夜希腊时(台)  /  情约半生(港),美国,剧情 爱情,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8,2013,https://movie.douban.com/subject/10808442/
步履不停 / 横山家之味(港)  /  步伐不停,日本,剧情 家庭,导演:是枝裕和HirokazuKoreeda   主演:阿部宽HiroshiAbe/夏川结衣Yu...,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8,2008,https://movie.douban.com/subject/2222996/
天使爱美丽 / 艾蜜莉的异想世界(台)  /  天使艾米莉,法国 德国,喜剧 爱情,导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...,法式小清新。 ,8.7,2001,https://movie.douban.com/subject/1292215/
七宗罪 / 火线追缉令(台)  /  7宗罪,美国,剧情 犯罪 悬疑 惊悚,导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...,警察抓小偷，老鼠玩死猫。,8.7,1995,https://movie.douban.com/subject/1292223/
剪刀手爱德华 / 幻海奇缘(港)  /  剪刀手爱德华,美国,剧情 奇幻 爱情,导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...,浪漫忧郁的成人童话。,8.7,1990,https://movie.douban.com/subject/1292370/
本杰明·巴顿奇事 / 奇幻逆缘(港)  /  返老还童,美国,剧情 爱情 奇幻,导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...,在时间之河里感受溺水之苦。,8.7,2008,https://movie.douban.com/subject/1485260/
西西里的美丽传说 / 真爱伴我行(台)  /  玛莲娜,意大利 美国,剧情 战争 情色,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...,美丽无罪。,8.7,2000,https://movie.douban.com/subject/1292402/
沉默的羔羊 / 沉默的羔羊,美国,剧情 犯罪 惊悚,导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...,安东尼·霍普金斯的顶级表演。,8.7,1991,https://movie.douban.com/subject/1293544/
蝴蝶效应 / 蝴蝶效应,美国 加拿大,剧情 悬疑 科幻 惊悚,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...,人的命运被自己瞬间的抉择改变。,8.7,2004,https://movie.douban.com/subject/1292343/
让子弹飞 / 让子弹飞一会儿  /  火烧云,中国大陆 香港,剧情 喜剧 动作 西部,导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,你给我翻译翻译，神马叫做TMD的惊喜。,8.7,2010,https://movie.douban.com/subject/3742360/
看不见的客人 / 佈局(台)  /  死无对证(港),西班牙,剧情 犯罪 悬疑 惊悚,导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...,你以为你以为的就是你以为的。,8.7,2016,https://movie.douban.com/subject/26580232/
阳光灿烂的日子 / In the Heat of the Sun,中国大陆 香港,剧情,导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao,一场华丽的意淫。,8.7,1994,https://movie.douban.com/subject/1291875/
重庆森林 / Chungking Express,香港,剧情 爱情,导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...,寂寞没有期限。,8.7,1994,https://movie.douban.com/subject/1291999/
大鱼 / 大鱼奇缘(港)  /  大智若鱼(台),美国,剧情 家庭 奇幻 冒险,导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.7,2003,https://movie.douban.com/subject/1291545/
射雕英雄传之东成西就 / 东成西就  /  大英雄 (日本),香港,喜剧 古装,导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...,百看不厌。 ,8.7,1993,https://movie.douban.com/subject/1316510/
告白 / 自白  /  母亲,日本,剧情 惊悚,导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...,没有一人完全善，也没有一人完全恶。,8.7,2010,https://movie.douban.com/subject/4268598/
哈利·波特与魔法石 / 哈利波特1：神秘的魔法石(港 / 台) ,美国 英国,奇幻 冒险,导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint,童话世界的开端。,8.7,2001,https://movie.douban.com/subject/1295038/
猫鼠游戏 / 逍遥法外  /  神鬼交锋(台),美国 加拿大,传记 犯罪 剧情,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...,骗子大师和执著警探的你追我跑故事。 ,8.7,2002,https://movie.douban.com/subject/1305487/
爱在黎明破晓前 / 情留半天(港)  /  爱在黎明破晓时(台),美国 奥地利 瑞士,剧情 爱情,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,缘分是个连绵词，最美不过一瞬。,8.7,1995,https://movie.douban.com/subject/1296339/
爱在日落黄昏时 / 日落巴黎(港)  /  爱在日落巴黎时(台),美国,剧情 爱情,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.7,2004,https://movie.douban.com/subject/1291990/
消失的爱人 / 失踪的女孩  /  失踪女孩,美国,剧情 犯罪 悬疑 惊悚,导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...,年度最佳date movie。,8.7,2014,https://movie.douban.com/subject/21318488/
萤火虫之墓 / 再见萤火虫(港)  /  萤火挽歌,日本,动画 剧情 战争,导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子,幸福是生生不息，却难以触及的远。 ,8.7,1988,https://movie.douban.com/subject/1293318/
驯龙高手 / 驯龙记(港),美国,喜剧 动画 奇幻 冒险 家庭,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...,和谐的生活离不开摸头与被摸头。,8.7,2010,https://movie.douban.com/subject/2353023/
恐怖直播 / 死亡“动”新闻(港)  /  恐怖攻击直播(台),韩国,剧情 犯罪 悬疑,导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...,恐怖分子的“秋菊打官司”。,8.7,2013,https://movie.douban.com/subject/21360417/
菊次郎的夏天 / Kikujirô no natsu  /  菊次郎的夏天,日本,剧情 喜剧,导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus...,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.7,1999,https://movie.douban.com/subject/1293359/
借东西的小人阿莉埃蒂 / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),日本,动画 奇幻 冒险,导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...,曾经的那段美好会沉淀为一辈子的记忆。,8.7,2010,https://movie.douban.com/subject/4202302/
电锯惊魂 / 夺魂锯(台)  /  恐惧斗室(港),美国,悬疑 惊悚 恐怖,导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾...,真相就在眼前。,8.7,2004,https://movie.douban.com/subject/1417598/
谍影重重3 / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),美国 德国,动作 悬疑 惊悚,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...,像吃了苏打饼一样干脆的电影。,8.7,2007,https://movie.douban.com/subject/1578507/
燃情岁月 / 秋日传奇  /  真爱一世情(台),美国,剧情 爱情 西部 家庭,导演:爱德华·兹威克EdwardZwick   主演:安东尼·霍普金斯AnthonyHopki...,传奇，不是每个人都可以拥有。,8.7,1994,https://movie.douban.com/subject/1295865/
疯狂原始人 / 古鲁家族(港 / 台) ,美国,喜剧 动画 冒险,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演...,老少皆宜，这就是好莱坞动画的魅力。,8.7,2013,https://movie.douban.com/subject/1907966/
7号房的礼物 / 戆爸的礼物(港)  /  7号囚房的礼物,韩国,剧情 喜剧 家庭,导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi...,《我是山姆》的《美丽人生》。,8.7,2013,https://movie.douban.com/subject/10777687/
纵横四海 / Once a Thief,香港,剧情 喜剧 动作 犯罪,导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...,香港浪漫主义警匪动作片的巅峰之作。,8.7,1991,https://movie.douban.com/subject/1295409/
萤火之森 / 萤火之社  /  Hotarubi no mori e,日本,剧情 爱情 动画 奇幻,导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...,触不到的恋人。,8.7,2011,https://movie.douban.com/subject/5989818/
浪潮 / 恶魔教室(台)  /  白恤暴潮(港),德国,剧情 惊悚,导演:丹尼斯·甘塞尔DennisGansel   主演:尤尔根·沃格尔JürgenVogel...,世界离独裁只有五天。,8.7,2008,https://movie.douban.com/subject/2297265/
罗生门 / Rashomon,日本,犯罪 剧情 悬疑,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/千秋实...,人生的N种可能性。,8.7,1950,https://movie.douban.com/subject/1291879/
一次别离 / 分居风暴(台)  /  伊朗式分居(港),伊朗 法国,剧情 家庭,导演:阿斯哈·法哈蒂AsgharFarhadi   主演:佩曼·莫阿迪PeymanMoadi/...,只有有信仰的人才能说出事实真相。,8.7,2011,https://movie.douban.com/subject/5964718/
可可西里 / Kekexili: Mountain Patrol,中国大陆 香港,剧情 犯罪,导演:陆川ChuanLu   主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...,坚硬的信仰。,8.7,2004,https://movie.douban.com/subject/1308857/
梦之安魂曲 / 噩梦挽歌(台)  /  迷上瘾(港),美国,剧情,导演:达伦·阿伦诺夫斯基DarrenAronofsky   主演:艾伦·伯斯汀EllenBur...,一场没有春天的噩梦。,8.7,2000,https://movie.douban.com/subject/1292270/
碧海蓝天 / 碧海情深  /  夜海倾情,法国 美国 意大利,剧情 爱情,导演:LucBesson   主演:让-马克·巴尔Jean-MarcBarr/让·雷诺JeanRe...,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,8.7,1988,https://movie.douban.com/subject/1300960/
牯岭街少年杀人事件 / A Brighter Summer Day,台湾,剧情 犯罪,导演:杨德昌EdwardYang   主演:张震ChenChang/杨静怡LisaYang/张...,弱者送给弱者的一刀。,8.7,1991,https://movie.douban.com/subject/1292329/
绿里奇迹 / 绿色奇迹(台)  /  绿色英里,美国,犯罪 剧情 奇幻 悬疑,导演:FrankDarabont   主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...,天使暂时离开。,8.7,1999,https://movie.douban.com/subject/1300374/
末路狂花 / 塞尔玛与路易丝  /  末路狂花,美国 法国,犯罪 剧情 惊悚,导演:雷德利·斯科特RidleyScott   主演:吉娜·戴维斯GeenaDavis/苏...,没有了退路，只好飞向自由。,8.7,1991,https://movie.douban.com/subject/1291992/
头脑特工队 / 玩转脑朋友(港)  /  脑筋急转弯(台),美国,喜剧 动画 冒险,导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen  &nb...,愿我们都不用长大，每一座城堡都能永远存在。,8.7,2015,https://movie.douban.com/subject/10533913/
一个叫欧维的男人决定去死 / 明天别再来敲门(台)  /  想死冇咁易(港),瑞典,剧情,导演:汉内斯·赫尔姆HannesHolm   主演:罗夫·拉斯加德RolfLassgård...,惠及一生的美丽。,8.7,2015,https://movie.douban.com/subject/26628357/
千钧一发 / 变种异煞  /  自然人,美国,剧情 科幻,导演:安德鲁·尼科尔AndrewNiccol   主演:伊桑·霍克EthanHawke/乌玛...,一部能引人思考的科幻励志片。,8.7,1997,https://movie.douban.com/subject/1300117/
血战钢锯岭 / 钢锯岭  /  钢铁英雄(台),美国 澳大利亚,剧情 传记 历史 战争,导演:梅尔·吉布森MelGibson   主演:安德鲁·加菲尔德AndrewGarfield/...,,8.7,2016,https://movie.douban.com/subject/26325320/
禁闭岛 / 不赦岛(港)  /  隔离岛(台),美国,剧情 悬疑 惊悚,导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,昔日翩翩少年，今日大腹便便。,8.6,2010,https://movie.douban.com/subject/2334904/
致命ID / 杀人游戏  /  致命身份,美国,剧情 悬疑 惊悚,导演:JamesMangold   主演:JohnCusack/RayLiotta/AmandaPeet,最不可能的那个人永远是最可能的。,8.6,2003,https://movie.douban.com/subject/1297192/
断背山 / 断臂山,美国 加拿大,剧情 爱情 同性 家庭,导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...,每个人心中都有一座断背山。,8.6,2005,https://movie.douban.com/subject/1418834/
